su_code,su_group,su_desc,cc_code,cc_desc
U781 ,1,Obesity ,E669 ,Obesity unspecified 
U782 ,2,Cystic fibrosis ,E84 ,Cystic fibrosis 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F000 ,Early dementia in Alzheimer's dis 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F001 ,Late dementia in Alzheimer's dis 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F002 ,Alzheimer's dementia atypic / mixed 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F009 ,Alzheimer's dementia unsp 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F010 ,Vascular dementia of acute onset 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F011 ,Multi-infarct dementia 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F012 ,Subcortical vascular dementia 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F013 ,Mx cortical & subcortical vasc dementia 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F018 ,Other vascular dementia 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F019 ,Vascular dementia unspecified 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F020 ,Dementia in Pick's disease 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F021 ,Dementia in Creutzfeldt-Jakob dis 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F022 ,Dementia in Huntington's disease 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F023 ,Dementia in Parkinson's disease 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F024 ,Dementia in HIV disease 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F028 ,Dementia in oth spec dis class elsewhere 
U791 ,3,Dementia (incl in Alzheimer's dis) ,F03 ,Unspecified dementia 
U792 ,4,Schizophrenia ,F200 ,Paranoid schizophrenia 
U792 ,4,Schizophrenia ,F201 ,Hebephrenic schizophrenia 
U792 ,4,Schizophrenia ,F202 ,Catatonic schizophrenia 
U792 ,4,Schizophrenia ,F203 ,Undifferentiated schizophrenia 
U792 ,4,Schizophrenia ,F204 ,Post-schizophrenic depression 
U792 ,4,Schizophrenia ,F205 ,Residual schizophrenia 
U792 ,4,Schizophrenia ,F206 ,Simple schizophrenia 
U792 ,4,Schizophrenia ,F208 ,Other schizophrenia 
U792 ,4,Schizophrenia ,F209 ,Schizophrenia unspecified 
U793 ,5,Depression ,F3200 ,Mild depres ep not in postnatal period 
U793 ,5,Depression ,F3201 ,Mild depres ep in postnatal period 
U793 ,5,Depression ,F3210 ,Mod depres ep not in postnatal period 
U793 ,5,Depression ,F3211 ,Mod depres ep in postnatal period 
U793 ,5,Depression ,F3220 ,Sev depres ep wo psych sym not postnatal 
U793 ,5,Depression ,F3221 ,Sev depres ep wo psych sym in postnatal 
U793 ,5,Depression ,F3230 ,Sev depres ep w psych sym not postnatal 
U793 ,5,Depression ,F3231 ,Sev depres ep w psych sym in postnatal 
U793 ,5,Depression ,F3280 ,Other depres ep not in postnatal period 
U793 ,5,Depression ,F3281 ,Other depres ep in postnatal period 
U793 ,5,Depression ,F3290 ,Depres ep not in the postnatal period 
U793 ,5,Depression ,F3291 ,Depres ep unsp in the postnatal period 
U793 ,5,Depression ,F334 ,Rec depres disrd currently in remission 
U793 ,5,Depression ,F338 ,Other recurrent depressive disorders 
U793 ,5,Depression ,F339 ,Recurrent depressive disorder unsp 
U794 ,6,Disorder of intellectual development ,F700 ,Mild mental retard no / min impair beh 
U794 ,6,Disorder of intellectual development ,F701 ,Mild mental retard signif impair beh 
U794 ,6,Disorder of intellectual development ,F708 ,Mild mental retard other impaired beh 
U794 ,6,Disorder of intellectual development ,F709 ,Mild mental retard wo impaired beh 
