u_group,U_code,U_description,icd_code,ICD_description
1,U781,Obesity,E6693,Obesity not elsewhere classified body mass index [BMI] 40 kg/m2 or more
1,U781,Obesity,E6691,Obesity not elsewhere classified body mass index [BMI] 30 kg/m2 to 34.99 kg/m2
1,U781,Obesity,E6690,Obesity not elsewhere classified body mass index [BMI] not elsewhere classified
1,U781,Obesity,E6692,Obesity not elsewhere classified body mass index [BMI] 35 kg/m2 to 39.99 kg/m2
2,U782,Cystic fibrosis,E84,Cystic fibrosis
3,U791,Dementia,F0101,Vascular dementia of acute onset with psychological or behavioural disturbance
3,U791,Dementia,F0001,Dementia in Alzheimer's disease with early onset with psychological or behavioural disturbance (G30.0+)
3,U791,Dementia,F0121,Subcortical vascular dementia with psychological or behavioural disturbance
3,U791,Dementia,F0211,Dementia in Creutzfeldt-Jakob disease with psychological or behavioural disturbance (A81.0+)
3,U791,Dementia,F0200,Dementia in Pick's disease without mention of psychological or behavioural disturbance (G31.0+)
3,U791,Dementia,F0091,Dementia in Alzheimer's disease unspecified with psychological or behavioural disturbance (G30.9+)
3,U791,Dementia,F0000,Dementia in Alzheimer's disease with early onset without mention of psychological or behavioural disturbance (G30.0+)
3,U791,Dementia,F0181,Other vascular dementia with psychological or behavioural disturbance
3,U791,Dementia,F0210,Dementia in Creutzfeldt-Jakob disease without mention of psychological or behavioural disturbance (A81.0+)
3,U791,Dementia,F0240,Dementia in human immunodeficiency virus [HIV] disease without mention of psychological or behavioural disturbance (B22+)
3,U791,Dementia,F0100,Vascular dementia of acute onset without mention of psychological or behavioural disturbance
3,U791,Dementia,F0280,Dementia in other specified diseases classified elsewhere without mention of psychological or behavioural disturbance
3,U791,Dementia,F0301,Unspecified dementia with psychological or behavioural disturbance
3,U791,Dementia,F0120,Subcortical vascular dementia without mention of psychological or behavioural disturbance
3,U791,Dementia,F0010,Dementia in Alzheimer's disease with late onset without mention of psychological or behavioural disturbance (G30.1+)
3,U791,Dementia,F0090,Dementia in Alzheimer's disease unspecified without mention of psychological or behavioural disturbance (G30.9+)
3,U791,Dementia,F0201,Dementia in Pick's disease with psychological or behavioural disturbance (G31.0+)
3,U791,Dementia,F0191,Vascular dementia unspecified with psychological or behavioural disturbance
3,U791,Dementia,F0011,Dementia in Alzheimer's disease with late onset with psychological or behavioural disturbance (G30.1+)
3,U791,Dementia,F0021,Dementia in Alzheimer's disease atypical or mixed type with psychological or behavioural disturbance (G30.8+)
3,U791,Dementia,F0130,Mixed cortical and subcortical vascular dementia without mention of psychological or behavioural disturbance
3,U791,Dementia,F0221,Dementia in Huntington's disease with psychological or behavioural disturbance (G10+)
3,U791,Dementia,F0111,Multi-infarct dementia with psychological or behavioural disturbance
3,U791,Dementia,F0281,Dementia in other specified diseases classified elsewhere with psychological or behavioural disturbance
3,U791,Dementia,F0241,Dementia in human immunodeficiency virus [HIV] disease with psychological or behavioural disturbance (B22+)
3,U791,Dementia,F0131,Mixed cortical and subcortical vascular dementia with psychological or behavioural disturbance
3,U791,Dementia,F0020,Dementia in Alzheimer's disease atypical or mixed type without mention of psychological or behavioural disturbance (G30.8+)
3,U791,Dementia,F0300,Unspecified dementia without mention of psychological or behavioural disturbance
3,U791,Dementia,F0180,Other vascular dementia without mention of psychological or behavioural disturbance
3,U791,Dementia,F0110,Multi-infarct dementia without mention of psychological or behavioural disturbance
3,U791,Dementia,F0190,Vascular dementia unspecified without mention of psychological or behavioural disturbance
3,U791,Dementia,F0220,Dementia in Huntington's disease without mention of psychological or behavioural disturbance (G10+)
3,U791,Dementia,F0231,Dementia in Parkinson's disease with psychological or behavioural disturbance (G20+)
3,U791,Dementia,F0230,Dementia in Parkinson's disease without mention of psychological or behavioural disturbance (G20+)
4,U792,Schizophrenia,F209,Schizophrenia unspecified
4,U792,Schizophrenia,F206,Simple schizophrenia
4,U792,Schizophrenia,F205,Residual schizophrenia
4,U792,Schizophrenia,F204,Post-schizophrenic depression
4,U792,Schizophrenia,F208,Other schizophrenia
4,U792,Schizophrenia,F200,Paranoid schizophrenia
4,U792,Schizophrenia,F201,Hebephrenic schizophrenia
4,U792,Schizophrenia,F202,Catatonic schizophrenia
4,U792,Schizophrenia,F203,Undifferentiated schizophrenia
5,U793,Depression,F338,Other recurrent depressive disorders
5,U793,Depression,F334,Recurrent depressive disorder currently in remission
5,U793,Depression,F3291,Depressive episode unspecified arising in the postnatal period
5,U793,Depression,F3281,Other depressive episodes arising in the postnatal period
5,U793,Depression,F3280,Other depressive episodes not specified as arising in the postnatal period
5,U793,Depression,F3231,Severe depressive episode with psychotic symptoms arising in the postnatal period
5,U793,Depression,F3290,Depressive episode unspecified not specified as arising in the postnatal period
5,U793,Depression,F3200,Mild depressive episode not specified as arising in the postnatal period
5,U793,Depression,F3230,Severe depressive episode with psychotic symptoms not specified as arising in the postnatal period
5,U793,Depression,F3201,Mild depressive episode arising in the postnatal period
5,U793,Depression,F3211,Moderate depressive episode arising in the postnatal period
