DRG v11.0,Description," Same-Day
Payment List","Bundled
ICU","Lower
Bound","Upper
Bound",PPSA - National,"Paediatric
Adjustment",Same Day,"Short-Stay Outlier
Base","Short-Stay Outlier
Per Diem",Inlier,"Long-Stay Outlier
Per Diem",PPSA - NSW,PPSA - Vic,PPSA - Qld,PPSA - SA,PPSA - WA,PPSA - Tas,PPSA - NT,PPSA - ACT,Unnamed: 21,Category,Adjustment,Unnamed: 24,Unnamed: 25,Private Patient Accommodation Adjustment,Same Day AA/ASA/NA,Overnight AA/ASA/NA,Same Day MH,Overnight MH,Unnamed: 31,Indigenous Status,Flag,Adj,Unnamed: 35,Patient Remoteness,Adjustment.1,Unnamed: 38,Funding ,Private Flag,Inscope Flag,Unnamed: 42,postcode,ra2021,Unnamed: 45,SA2,ra2021.1,Unnamed: 48,Caretype,Description.1,Inscope,Unnamed: 52,MDC 19/20,Age <= 17,Specialist Hospital,Code,Specialist Psych,Unnamed: 58,Funding Input,Selection,Unnamed: 61,IHPA DSS Data Set Selection,2011-12 and Earlier,Unnamed: 64,2012-13 and Later,Unnamed: 66,Adopted Private Flag,Adopted Inscope Flag,Unnamed: 69,HAC Group,Base Score,Age Group - 0-5,Age Group - 5-10,Age Group -10-15,Age Group - 15-20,Age Group - 20-25,Age Group - 25-30,Age Group - 30-35,Age Group - 35-40,Age Group - 40-45,Age Group - 45-50,Age Group - 50-55,Age Group - 55-60,Age Group - 60-65,Age Group - 65-70,Age Group - 70-75,Age Group - 75-80,Age Group - 80-85,Age Group - 85-90,Age Group - 90-95,Age Group - 95-99,Unnamed: 92,DRG v10.0,Type,MDC,Unnamed: 96,HAC Group.1,I,M,Unnamed: 100,HAC Group - MDC,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
801A,"GIs Unrelated to Principal Diagnosis, Major Complexity",0.0,0.0,7.0,72.0,0.103,1.35,,0.9527,1.1849,9.2472,0.26,0.161,0.142,0.038,0.037,0.103,0.103,0.103,0.103,,Radiotherapy,0.43,,,1.0,0.047,0.0648,0.047,0.0648,,1.0,1.0,0.03,,0,0,,1.0,0.0,1.0,,PC0800,2,,101021007.0,1.0,,,All,1.0,,MDC,1.0,0.0,MDC10,0.0,,2011-12 and Earlier,2.0,,1.0,0.0,1.0,0.0,1.0,0.0,1,,1,39.8234,0,0,0.3622,1.4136,-0.6677,0.7564,0.4431,0.4431,0.4084,1.5505,1.2183,2.5093,2.5093,3.2835,3.5806,5.1714,5.8356,7.5457,9.1883,9.1883,,801A,I,23,,1,6.5686,0,,1.0,0.0,-8.5021,-17.1059,-15.8833,-9.2996,-11.8629,-12.1189,-9.4437,-5.3095,-9.853,-8.2273,-10.265,-17.1059,-17.1059,-19.3349,-0.6828,-11.4789,-6.9856,-5.6631,-7.6733,-16.5349,-6.1675,-2.0145,-9.6154
801B,"GIs Unrelated to Principal Diagnosis, Intermediate Complexity",0.0,0.0,3.0,27.0,0.168,1.05,,0.6381,1.0995,3.9367,0.2548,0.229,0.133,0.038,0.037,0.168,0.168,0.168,0.168,,Dialysis,0.23,,,2.0,0.0462,0.0611,0.0462,0.0648,,2.0,1.0,0.03,,1,0,,2.0,0.0,1.0,,PC0810,2,,101021008.0,0.0,,1,Acute care (admitted care),,,MDC,1.0,1.0,MDC11,0.0,,2012-13 and Later,,,2.0,1.0,1.0,0.0,1.0,0.0,1,,2,29.4969,0,0,0,0,0,0,0,0,3.8642,3.8642,5.5785,6.8682,7.9784,8.6017,9.4117,11.1147,12.9305,14.0145,14.7912,14.7912,,801B,I,23,,2,3.5008,0,,2.0,0.0,0.9519,-5.7424,-5.1329,-2.3675,-3.3928,-4.6061,-2.1674,-1.2952,-3.2338,0.2519,-2.8872,-5.7424,-5.7424,-6.1529,-6.1529,-5.7424,-3.3928,0.2012,4.2718,3.7632,0.9519,4.4064,4.4064
801C,"GIs Unrelated to Principal Diagnosis, Minor Complexity",0.0,0.0,1.0,8.0,0.162,1.07,,,,1.281,0.2895,0.249,0.172,0.038,0.037,0.162,0.162,0.162,0.162,,ICU,0.0442,,,3.0,0.0479,0.0664,0.0479,0.0664,,3.0,1.0,0.03,,2,0.09,,3.0,0.0,0.0,,PC0812,2,,101021009.0,0.0,,SA1,Sub-acute care,,,NOMDC,1.0,0.0,NOMDC10,0.0,,,,,3.0,1.0,1.0,0.0,0.0,0.0,0,,3,53.7775,0,-1.5092,-0.9621,0.1519,-0.1338,0.2323,0.4219,1.0839,1.5392,2.0607,2.6557,3.1069,3.6592,4.1966,4.5875,5.3603,6.3399,7.2956,8.4041,8.4041,,801C,I,23,,3,6.1624,0,,3.0,0.0,-5.6429,-20.15,-11.7042,-7.763,-7.4484,-5.9266,-4.1341,-3.9344,-8.1478,-6.525,-6.9754,-9.5403,-8.8664,-5.1687,-3.0201,-7.3808,-0.2244,-5.3264,-5.3125,-6.5925,-5.3332,0.0317,-8.2068
A13A,"Ventilation >= 336 Hours, Major Complexity",0.0,0.0,10.0,99.0,0.108,1.45,,3.3512,3.4793,38.1444,0.386,0.14,0.083,0.035,0.081,0.08,0.108,0.108,0.108,,,,,,4.0,0.047,0.0648,0.047,0.0648,,4.0,0.0,0.0,,3,0.2,,4.0,0.0,0.0,,PC0820,2,,101021010.0,0.0,,11,Mental Health,,,NOMDC,1.0,1.0,NOMDC11,0.0,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0,,4,48.527,0,-2.8382,-2.4645,-1.1648,-1.7031,-1.2213,-0.8525,-0.2682,0.1405,0.8761,1.2451,1.2556,1.7509,2.0966,2.3623,2.712,3.139,3.7879,4.6396,4.6396,,960Z,M,.,,4,11.755,0,,4.0,0.0,-7.2176,-18.3655,-9.4663,-5.1973,-2.8379,-4.9677,-3.4661,-0.7054,-6.0425,-5.4157,-5.1634,-5.8683,-5.1577,-4.779,-0.4522,-4.5234,-4.122,-2.8715,-10.5265,-9.7257,-4.2377,-1.7818,-9.0946
A13B,"Ventilation >= 336 Hours, Minor Complexity",0.0,0.0,5.0,54.0,0.078,1.2,,1.4458,4.307,22.9807,0.3748,0.114,0.083,0.035,0.081,0.08,0.078,0.078,0.078,,,,,,5.0,0.0534,0.0648,0.0534,0.0648,,9.0,0.0,0.0,,4,0.32,,5.0,0.0,0.0,,PC0822,4,,101021012.0,0.0,,2,Rehabilitation care ,,,NOMDC,0.0,0.0,NOMDC00,0.0,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0,,6,51.1576,0,-1.4434,-0.6098,1.5253,1.588,1.0416,1.7026,1.722,1.8543,2.4596,2.974,3.2446,3.6832,4.2739,4.9774,5.5469,6.6346,8.2495,9.8637,9.8637,,961Z,M,.,,6,6.1277,0,,6.0,0.0,-9.0411,-23.322,-12.2815,-11.0446,-11.9027,-9.3294,-8.5565,-8.8499,-14.0842,-11.0766,-12.0397,-14.6547,-14.6547,-17.338,-10.019,-11.8313,-7.2769,-9.3271,-9.4686,-11.122,-7.2214,-3.7444,-12.9578
A14A,"Ventilation >= 96 Hours and < 336 Hours, Major Complexity",0.0,0.0,8.0,73.0,0.104,1.34,,2.6203,2.0856,19.305,0.3766,0.159,0.088,0.04,0.073,0.081,0.104,0.104,0.104,,,,,,6.0,0.0456,0.0622,0.0456,0.0557,,,,,,,,,6.0,0.0,0.0,,PC0828,2,,101021610.0,0.0,,3,palliative care ,,,NOMDC,0.0,1.0,NOMDC01,0.0,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0,,7,37.3677,0,-1.6615,-1.6615,3.3157,3.6553,4.3344,5.4534,5.9298,6.2827,6.6424,7.0783,7.2523,7.3597,7.8525,8.5971,8.6313,9.1779,10.1127,9.5255,9.5255,,963Z,M,.,,7,8.2475,0,,7.0,0.0,-6.0643,-22.5103,-12.9347,-7.0056,-9.7648,-7.7147,-6.5884,-1.2325,-9.6093,-7.4083,-8.5023,-9.8376,-9.8376,-10.4874,-5.8051,-7.1646,-2.9715,-3.3057,-7.3343,-12.4728,-1.2325,-1.2192,-8.9929
A14B,"Ventilation >= 96 Hours and < 336 Hours, Intermediate Complexity",0.0,0.0,4.0,37.0,0.095,1.19,,0.9564,2.6541,11.5726,0.3617,0.145,0.091,0.032,0.073,0.081,0.095,0.095,0.095,,,,,,7.0,0.047,0.0648,0.047,0.0648,,,,,,Treatment Remoteness,Adjustment,,7.0,0.0,0.0,,PC0829,2,,101021611.0,1.0,,4, geriatric evaluation and management,,,,,,,,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0,,8,34.1718,0,0,0,0,0,0,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,0.3586,,A13A,I,0,,8,7.2553,0,,8.0,0.0,-14.438,-14.438,-14.438,-14.438,-8.0465,-14.0738,-7.5868,-10.3877,-14.438,-14.438,-10.3877,-14.438,-14.438,-14.438,-14.438,-14.438,-8.0465,-9.4134,-26.0587,-26.2115,-12.3287,-9.4134,-14.438
A14C,"Ventilation >= 96 Hours and < 336 Hours, Minor Complexity",0.0,0.0,2.0,22.0,0.099,1.32,,0.4241,3.4861,7.3964,0.387,0.153,0.088,0.038,0.073,0.081,0.099,0.099,0.099,,,,,,8.0,0.047,0.0648,0.047,0.0648,,,,,,0,0,,8.0,0.0,1.0,,PC0830,2,,101031013.0,2.0,,5,psychogeriatric care,,,,,,,,,,,,8.0,0.0,0.0,0.0,1.0,0.0,1,,9,42.3552,0,0,0,0,0,0.3279,0.1895,0.9656,1.7693,2.5776,3.0167,3.5665,4.0794,4.6841,5.6292,6.2712,7.3401,8.231,9.3278,9.3278,,A13B,I,0,,9,4.1709,0,,9.0,0.0,-5.153,-20.3999,-9.0551,-4.2231,-6.2079,-4.5408,-0.8696,-4.0157,-7.7501,-4.9559,-5.8201,-9.2334,-9.8378,-13.7448,-2.9361,-5.4614,-1.8011,-1.461,-6.7426,-5.0392,-5.9464,-3.8975,-6.424
A15A,"Tracheostomy, Major Complexity",0.0,0.0,9.0,89.0,0.1,1.0,,3.5463,1.691,18.7657,0.3827,0.216,0.109,0.035,0.081,0.08,0.1,0.1,0.1,,,,,,,,,,,,,,,,1,0,,9.0,1.0,1.0,,PC0832,2,,101031014.0,1.0,,6,maintenance care,,,,,,,,,,,,9.0,0.0,0.0,1.0,1.0,1.0,1,,10,38.0579,0,0,0,3.2026,2.6886,2.6106,2.602,3.2051,3.8901,4.2133,4.952,5.2158,5.8428,6.4927,7.0973,7.3585,8.2375,8.4677,8.8771,8.8771,,A14A,I,0,,10,3.6148,0,,10.0,0.0,-0.4881,-16.1512,-6.4556,-2.317,-3.2447,-5.9792,-4.0009,-1.6598,-5.2651,-4.7966,-4.9017,-7.8161,-8.4343,-12.2868,-12.105,-8.5546,-2.4063,-2.0012,2.1728,0.5723,-4.5333,-2.2099,-5.1434
A15B,"Tracheostomy, Intermediate Complexity",0.0,0.0,6.0,56.0,0.104,1.0,,1.7504,1.7513,12.2584,0.3697,0.216,0.109,0.035,0.081,0.08,0.104,0.104,0.104,,,,,,,,,,,,,,,,2,0,,10.0,0.0,0.0,,PC0834,2,,101031015.0,1.0,,7,Newborn,,,,,,,,,,,,10.0,0.0,1.0,0.0,0.0,0.0,0,,11,45.4906,0,0.0295,-1.0779,-0.4695,0.3865,0.1012,1.105,1.7521,3.1385,4.0559,5.1581,5.8223,7.6064,9.1665,11.1061,12.821,14.7232,16.275,17.6681,17.6681,,A14B,I,0,,11,7.6937,0,,11.0,0.0,-7.5013,-20.0933,-10.395,-8.0474,-8.8584,-9.0336,-6.075,-2.6885,-10.9933,-8.4291,-9.6005,-9.376,-10.657,-16.7884,-24.1506,-10.8666,-6.1054,-6.3052,-9.5356,-7.7629,-5.4947,-0.6348,-11.6695
